trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,59026,0.0-2.0,vsf8jm12,,,,,,32764.0,67eee98d6c8da7fe2deb2179,67eee98d6c8da7fe2deb2179,,,,,,,,,,,,,,,,,,
introduction,3,67676,0.0-3.0,vsf8jm12,,,,,,8646.0,67eee98d6c8da7fe2deb2179,67eee98d6c8da7fe2deb2179,,,,,,,,,,,,,,,,,,
introduction,4,131264,0.0-4.0-0.0,vsf8jm12,,,,,,63588.0,,67eee98d6c8da7fe2deb2179,"[{""page_index"":0,""viewing_time"":4277},{""page_index"":1,""viewing_time"":57994},{""page_index"":2,""viewing_time"":1315}]",,,,,,,,,,,,,,,,,
introduction,5,132288,0.0-5.0-0.0,vsf8jm12,,,,,,1021.0,1,67eee98d6c8da7fe2deb2179,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,133221,0.0-5.0-0.1,vsf8jm12,,,,,,931.0,2,67eee98d6c8da7fe2deb2179,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,134214,0.0-5.0-0.2,vsf8jm12,,,,,,991.0,1,67eee98d6c8da7fe2deb2179,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,135347,0.0-5.0-0.3,vsf8jm12,,,,,,1132.0,3,67eee98d6c8da7fe2deb2179,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,136123,0.0-5.0-0.4,vsf8jm12,,,,,,774.0,2,67eee98d6c8da7fe2deb2179,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,136987,0.0-5.0-0.5,vsf8jm12,,,,,,863.0,3,67eee98d6c8da7fe2deb2179,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,137652,0.0-5.0-0.6,vsf8jm12,,,,,,663.0,1,67eee98d6c8da7fe2deb2179,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,138400,0.0-5.0-0.7,vsf8jm12,,,,,,746.0,2,67eee98d6c8da7fe2deb2179,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,139020,0.0-5.0-0.8,vsf8jm12,,,,,,619.0,3,67eee98d6c8da7fe2deb2179,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,139678,0.0-5.0-0.9,vsf8jm12,,,,,,656.0,2,67eee98d6c8da7fe2deb2179,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,140243,0.0-5.0-0.10,vsf8jm12,,,,,,564.0,1,67eee98d6c8da7fe2deb2179,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,141138,0.0-5.0-0.11,vsf8jm12,,,,,,894.0,3,67eee98d6c8da7fe2deb2179,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,177704,0.0-6.0-0.0,vsf8jm12,,,,,,36564.0,,67eee98d6c8da7fe2deb2179,"[{""page_index"":0,""viewing_time"":2374},{""page_index"":1,""viewing_time"":4198},{""page_index"":2,""viewing_time"":28424},{""page_index"":3,""viewing_time"":1568}]",,,,,,,,,,,,,,,,,
introduction,19,201236,0.0-8.0-0.0,vsf8jm12,,,,,,,,67eee98d6c8da7fe2deb2179,,img/Red_circle.png,3130.0,calibration,,,,,,,,,,,,,,
introduction,20,204022,0.0-8.0-1.0-0.0,vsf8jm12,,,,,,2775.0,111,67eee98d6c8da7fe2deb2179,,111,,calibration,,,,,,,,,,,,,,
introduction,21,204023,0.0-8.0-2.0,vsf8jm12,,,,,,,,67eee98d6c8da7fe2deb2179,,,,,,,,,,,,,,,,,,
introduction,22,206027,0.0-8.0-0.1,vsf8jm12,,,,,,,,67eee98d6c8da7fe2deb2179,,<p>CAREFUL. That was too slow.</p>,2235.0,calibration,,,,,,,,,,,,,,
introduction,23,207858,0.0-8.0-1.1-0.1,vsf8jm12,,,,,,1825.0,121,67eee98d6c8da7fe2deb2179,,121,,calibration,,,,,,,,,,,,,,
introduction,24,207859,0.0-8.0-2.1,vsf8jm12,,,,,,,,67eee98d6c8da7fe2deb2179,,,,,,,,,,,,,,,,,,
introduction,25,209867,0.0-8.0-0.2,vsf8jm12,,,,,,,,67eee98d6c8da7fe2deb2179,,<p>CAREFUL. That was too slow.</p>,1351.0,calibration,,,,,,,,,,,,,,
introduction,26,212347,0.0-8.0-1.2-0.2,vsf8jm12,,,,,,2475.0,3322,67eee98d6c8da7fe2deb2179,,3322,,calibration,,,,,,,,,,,,,,
introduction,27,212348,0.0-8.0-2.2,vsf8jm12,,,,,,,,67eee98d6c8da7fe2deb2179,,,,,,,,,,,,,,,,,,
