trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,104774,0.0-2.0,lu8x36mh,,,,,,86887.0,66083cd0a45e1ce399e6a85f,66083cd0a45e1ce399e6a85f,,,,,,,,,,,,,,,,,,
introduction,3,107946,0.0-3.0,lu8x36mh,,,,,,3166.0,66083cd0a45e1ce399e6a85f,66083cd0a45e1ce399e6a85f,,,,,,,,,,,,,,,,,,
introduction,4,119102,0.0-4.0-0.0,lu8x36mh,,,,,,11155.0,,66083cd0a45e1ce399e6a85f,"[{""page_index"":0,""viewing_time"":967},{""page_index"":1,""viewing_time"":7797},{""page_index"":2,""viewing_time"":2391}]",,,,,,,,,,,,,,,,,
introduction,5,120079,0.0-5.0-0.0,lu8x36mh,,,,,,976.0,1,66083cd0a45e1ce399e6a85f,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,120692,0.0-5.0-0.1,lu8x36mh,,,,,,610.0,2,66083cd0a45e1ce399e6a85f,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,122038,0.0-5.0-0.2,lu8x36mh,,,,,,1345.0,1,66083cd0a45e1ce399e6a85f,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,123073,0.0-5.0-0.3,lu8x36mh,,,,,,1033.0,3,66083cd0a45e1ce399e6a85f,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,123911,0.0-5.0-0.4,lu8x36mh,,,,,,837.0,2,66083cd0a45e1ce399e6a85f,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,124761,0.0-5.0-0.5,lu8x36mh,,,,,,849.0,3,66083cd0a45e1ce399e6a85f,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,125521,0.0-5.0-0.6,lu8x36mh,,,,,,759.0,1,66083cd0a45e1ce399e6a85f,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,126234,0.0-5.0-0.7,lu8x36mh,,,,,,712.0,2,66083cd0a45e1ce399e6a85f,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,126789,0.0-5.0-0.8,lu8x36mh,,,,,,553.0,3,66083cd0a45e1ce399e6a85f,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,127563,0.0-5.0-0.9,lu8x36mh,,,,,,773.0,2,66083cd0a45e1ce399e6a85f,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,128005,0.0-5.0-0.10,lu8x36mh,,,,,,441.0,1,66083cd0a45e1ce399e6a85f,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,129043,0.0-5.0-0.11,lu8x36mh,,,,,,1037.0,3,66083cd0a45e1ce399e6a85f,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,150205,0.0-6.0-0.0,lu8x36mh,,,,,,21161.0,,66083cd0a45e1ce399e6a85f,"[{""page_index"":0,""viewing_time"":929},{""page_index"":1,""viewing_time"":3428},{""page_index"":2,""viewing_time"":15623},{""page_index"":3,""viewing_time"":1181}]",,,,,,,,,,,,,,,,,
introduction,19,170956,0.0-8.0-0.0,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,img/Red_circle.png,2637.0,calibration,,,,,,,,,,,,,,
introduction,20,172459,0.0-8.0-1.0-0.0,lu8x36mh,,,,,,1497.0,12,66083cd0a45e1ce399e6a85f,,12,,calibration,,,,,,,,,,,,,,
introduction,21,172462,0.0-8.0-2.0,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,,,,,,,,,,,,,,,,,
introduction,22,174472,0.0-8.0-0.1,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,<p>CAREFUL. That was too slow.</p>,2128.0,calibration,,,,,,,,,,,,,,
introduction,23,177253,0.0-8.0-1.1-0.1,lu8x36mh,,,,,,2778.0,1131,66083cd0a45e1ce399e6a85f,,1131,,calibration,,,,,,,,,,,,,,
introduction,24,177254,0.0-8.0-2.1,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,,,,,,,,,,,,,,,,,
introduction,25,179260,0.0-8.0-0.2,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,<p>CAREFUL. That was too slow.</p>,2670.0,calibration,,,,,,,,,,,,,,
introduction,26,181013,0.0-8.0-1.2-0.2,lu8x36mh,,,,,,1748.0,31,66083cd0a45e1ce399e6a85f,,31,,calibration,,,,,,,,,,,,,,
introduction,27,181014,0.0-8.0-2.2,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,,,,,,,,,,,,,,,,,
introduction,28,183022,0.0-8.0-0.3,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,<p>CAREFUL. That was too slow.</p>,3249.0,calibration,,,,,,,,,,,,,,
introduction,29,187374,0.0-8.0-1.3-0.3,lu8x36mh,,,,,,4347.0,1321,66083cd0a45e1ce399e6a85f,,1321,,calibration,,,,,,,,,,,,,,
introduction,30,189383,0.0-8.0-2.3,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,31,192640,0.0-8.0-0.4,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,img/Red_circle.png,1191.0,calibration,,,,,,,,,,,,,,
introduction,32,195404,0.0-8.0-1.4-0.4,lu8x36mh,,,,,,2760.0,232,66083cd0a45e1ce399e6a85f,,232,,calibration,,,,,,,,,,,,,,
introduction,33,195406,0.0-8.0-2.4,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,,,,,,,,,,,,,,,,,
introduction,34,196602,0.0-8.0-0.5,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,img/Red_circle.png,2792.0,calibration,,,,,,,,,,,,,,
introduction,35,199254,0.0-8.0-1.5-0.5,lu8x36mh,,,,,,2647.0,2212,66083cd0a45e1ce399e6a85f,,2212,,calibration,,,,,,,,,,,,,,
introduction,36,199254,0.0-8.0-2.5,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,,,,,,,,,,,,,,,,,
introduction,37,201263,0.0-8.0-0.6,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,<p>CAREFUL. That was too slow.</p>,2751.0,calibration,,,,,,,,,,,,,,
introduction,38,203096,0.0-8.0-1.6-0.6,lu8x36mh,,,,,,1829.0,312,66083cd0a45e1ce399e6a85f,,312,,calibration,,,,,,,,,,,,,,
introduction,39,203097,0.0-8.0-2.6,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,,,,,,,,,,,,,,,,,
introduction,40,205111,0.0-8.0-0.7,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,<p>CAREFUL. That was too slow.</p>,1419.0,calibration,,,,,,,,,,,,,,
introduction,41,207768,0.0-8.0-1.7-0.7,lu8x36mh,,,,,,2653.0,1321,66083cd0a45e1ce399e6a85f,,1321,,calibration,,,,,,,,,,,,,,
introduction,42,207769,0.0-8.0-2.7,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,,,,,,,,,,,,,,,,,
introduction,43,209199,0.0-8.0-0.8,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,img/Red_circle.png,1847.0,calibration,,,,,,,,,,,,,,
introduction,44,211820,0.0-8.0-1.8-0.8,lu8x36mh,,,,,,2617.0,2223,66083cd0a45e1ce399e6a85f,,2223,,calibration,,,,,,,,,,,,,,
introduction,45,211821,0.0-8.0-2.8,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,,,,,,,,,,,,,,,,,
introduction,46,213673,0.0-8.0-0.9,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,img/Red_circle.png,1968.0,calibration,,,,,,,,,,,,,,
introduction,47,216430,0.0-8.0-1.9-0.9,lu8x36mh,,,,,,2753.0,3233,66083cd0a45e1ce399e6a85f,,3233,,calibration,,,,,,,,,,,,,,
introduction,48,216431,0.0-8.0-2.9,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,,,,,,,,,,,,,,,,,
introduction,49,218415,0.0-8.0-0.10,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,img/Red_circle.png,2615.0,calibration,,,,,,,,,,,,,,
introduction,50,220061,0.0-8.0-1.10-0.10,lu8x36mh,,,,,,1641.0,332,66083cd0a45e1ce399e6a85f,,332,,calibration,,,,,,,,,,,,,,
introduction,51,220063,0.0-8.0-2.10,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,,,,,,,,,,,,,,,,,
introduction,52,222077,0.0-8.0-0.11,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,<p>CAREFUL. That was too slow.</p>,2437.0,calibration,,,,,,,,,,,,,,
introduction,53,224210,0.0-8.0-1.11-0.11,lu8x36mh,,,,,,2129.0,3311,66083cd0a45e1ce399e6a85f,,3311,,calibration,,,,,,,,,,,,,,
introduction,54,224211,0.0-8.0-2.11,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,,,,,,,,,,,,,,,,,
introduction,55,226212,0.0-8.0-0.12,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,<p>CAREFUL. That was too slow.</p>,1038.0,calibration,,,,,,,,,,,,,,
introduction,56,228254,0.0-8.0-1.12-0.12,lu8x36mh,,,,,,2037.0,1321,66083cd0a45e1ce399e6a85f,,1321,,calibration,,,,,,,,,,,,,,
introduction,57,228255,0.0-8.0-2.12,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,,,,,,,,,,,,,,,,,
introduction,58,229308,0.0-8.0-0.13,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,img/Red_circle.png,1793.0,calibration,,,,,,,,,,,,,,
introduction,59,231655,0.0-8.0-1.13-0.13,lu8x36mh,,,,,,2343.0,213,66083cd0a45e1ce399e6a85f,,213,,calibration,,,,,,,,,,,,,,
introduction,60,231657,0.0-8.0-2.13,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,,,,,,,,,,,,,,,,,
introduction,61,233454,0.0-8.0-0.14,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,img/Red_circle.png,1903.0,calibration,,,,,,,,,,,,,,
introduction,62,234767,0.0-8.0-1.14-0.14,lu8x36mh,,,,,,1308.0,33,66083cd0a45e1ce399e6a85f,,33,,calibration,,,,,,,,,,,,,,
introduction,63,234768,0.0-8.0-2.14,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,,,,,,,,,,,,,,,,,
introduction,64,236676,0.0-8.0-0.15,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,img/Red_circle.png,2583.0,calibration,,,,,,,,,,,,,,
introduction,65,238512,0.0-8.0-1.15-0.15,lu8x36mh,,,,,,1832.0,1231,66083cd0a45e1ce399e6a85f,,1231,,calibration,,,,,,,,,,,,,,
introduction,66,238513,0.0-8.0-2.15,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,,,,,,,,,,,,,,,,,
introduction,67,240517,0.0-8.0-0.16,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,<p>CAREFUL. That was too slow.</p>,2160.0,calibration,,,,,,,,,,,,,,
introduction,68,242130,0.0-8.0-1.16-0.16,lu8x36mh,,,,,,1608.0,1122,66083cd0a45e1ce399e6a85f,,1122,,calibration,,,,,,,,,,,,,,
introduction,69,242130,0.0-8.0-2.16,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,,,,,,,,,,,,,,,,,
introduction,70,244132,0.0-8.0-0.17,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,<p>CAREFUL. That was too slow.</p>,3324.0,calibration,,,,,,,,,,,,,,
introduction,71,246189,0.0-8.0-1.17-0.17,lu8x36mh,,,,,,2052.0,3331,66083cd0a45e1ce399e6a85f,,3331,,calibration,,,,,,,,,,,,,,
introduction,72,246190,0.0-8.0-2.17,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,,,,,,,,,,,,,,,,,
introduction,73,248198,0.0-8.0-0.18,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,<p>CAREFUL. That was too slow.</p>,1591.0,calibration,,,,,,,,,,,,,,
introduction,74,250141,0.0-8.0-1.18-0.18,lu8x36mh,,,,,,1938.0,3233,66083cd0a45e1ce399e6a85f,,3233,,calibration,,,,,,,,,,,,,,
introduction,75,250142,0.0-8.0-2.18,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,,,,,,,,,,,,,,,,,
introduction,76,251741,0.0-8.0-0.19,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,img/Red_circle.png,1657.0,calibration,,,,,,,,,,,,,,
introduction,77,254874,0.0-8.0-1.19-0.19,lu8x36mh,,,,,,3130.0,1221,66083cd0a45e1ce399e6a85f,,1221,,calibration,,,,,,,,,,,,,,
introduction,78,254875,0.0-8.0-2.19,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,,,,,,,,,,,,,,,,,
introduction,79,256539,0.0-8.0-0.20,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,img/Red_circle.png,1070.0,calibration,,,,,,,,,,,,,,
introduction,80,258610,0.0-8.0-1.20-0.20,lu8x36mh,,,,,,2067.0,2322,66083cd0a45e1ce399e6a85f,,2322,,calibration,,,,,,,,,,,,,,
introduction,81,258611,0.0-8.0-2.20,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,,,,,,,,,,,,,,,,,
introduction,82,259692,0.0-8.0-0.21,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,img/Red_circle.png,3239.0,calibration,,,,,,,,,,,,,,
introduction,83,261352,0.0-8.0-1.21-0.21,lu8x36mh,,,,,,1657.0,321,66083cd0a45e1ce399e6a85f,,321,,calibration,,,,,,,,,,,,,,
introduction,84,261353,0.0-8.0-2.21,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,,,,,,,,,,,,,,,,,
introduction,85,263358,0.0-8.0-0.22,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,<p>CAREFUL. That was too slow.</p>,1287.0,calibration,,,,,,,,,,,,,,
introduction,86,264823,0.0-8.0-1.22-0.22,lu8x36mh,,,,,,1461.0,132,66083cd0a45e1ce399e6a85f,,132,,calibration,,,,,,,,,,,,,,
introduction,87,264824,0.0-8.0-2.22,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,,,,,,,,,,,,,,,,,
introduction,88,266118,0.0-8.0-0.23,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,img/Red_circle.png,2103.0,calibration,,,,,,,,,,,,,,
introduction,89,267785,0.0-8.0-1.23-0.23,lu8x36mh,,,,,,1663.0,231,66083cd0a45e1ce399e6a85f,,231,,calibration,,,,,,,,,,,,,,
introduction,90,267786,0.0-8.0-2.23,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,,,,,,,,,,,,,,,,,
introduction,91,269799,0.0-8.0-0.24,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,<p>CAREFUL. That was too slow.</p>,1422.0,calibration,,,,,,,,,,,,,,
introduction,92,272122,0.0-8.0-1.24-0.24,lu8x36mh,,,,,,2319.0,2133,66083cd0a45e1ce399e6a85f,,2133,,calibration,,,,,,,,,,,,,,
introduction,93,272123,0.0-8.0-2.24,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,,,,,,,,,,,,,,,,,
introduction,94,273553,0.0-8.0-0.25,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,img/Red_circle.png,3003.0,calibration,,,,,,,,,,,,,,
introduction,95,275161,0.0-8.0-1.25-0.25,lu8x36mh,,,,,,1604.0,322,66083cd0a45e1ce399e6a85f,,322,,calibration,,,,,,,,,,,,,,
introduction,96,275162,0.0-8.0-2.25,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,,,,,,,,,,,,,,,,,
introduction,97,277162,0.0-8.0-0.26,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,<p>CAREFUL. That was too slow.</p>,3474.0,calibration,,,,,,,,,,,,,,
introduction,98,279382,0.0-8.0-1.26-0.26,lu8x36mh,,,,,,2215.0,2321,66083cd0a45e1ce399e6a85f,,2321,,calibration,,,,,,,,,,,,,,
introduction,99,279383,0.0-8.0-2.26,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,,,,,,,,,,,,,,,,,
introduction,100,281394,0.0-8.0-0.27,lu8x36mh,,,,,,,,66083cd0a45e1ce399e6a85f,,<p>CAREFUL. That was too slow.</p>,1185.0,calibration,,,,,,,,,,,,,,
