trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,11027,0.0-2.0,t1mnmvd5,,,,,,8393.0,671e51c0e8f355dad36f28f5,671e51c0e8f355dad36f28f5,,,,,,,,,,,,,,,,,,
introduction,3,13644,0.0-3.0,t1mnmvd5,,,,,,2615.0,671e51c0e8f355dad36f28f5,671e51c0e8f355dad36f28f5,,,,,,,,,,,,,,,,,,
introduction,4,163832,0.0-4.0-0.0,t1mnmvd5,,,,,,150189.0,,671e51c0e8f355dad36f28f5,"[{""page_index"":0,""viewing_time"":117835},{""page_index"":1,""viewing_time"":29919},{""page_index"":2,""viewing_time"":2434}]",,,,,,,,,,,,,,,,,
introduction,5,165080,0.0-5.0-0.0,t1mnmvd5,,,,,,1246.0,1,671e51c0e8f355dad36f28f5,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,165795,0.0-5.0-0.1,t1mnmvd5,,,,,,714.0,2,671e51c0e8f355dad36f28f5,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,167508,0.0-5.0-0.2,t1mnmvd5,,,,,,1712.0,1,671e51c0e8f355dad36f28f5,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,168694,0.0-5.0-0.3,t1mnmvd5,,,,,,1185.0,3,671e51c0e8f355dad36f28f5,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,169542,0.0-5.0-0.4,t1mnmvd5,,,,,,847.0,2,671e51c0e8f355dad36f28f5,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,170431,0.0-5.0-0.5,t1mnmvd5,,,,,,889.0,3,671e51c0e8f355dad36f28f5,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,171144,0.0-5.0-0.6,t1mnmvd5,,,,,,713.0,1,671e51c0e8f355dad36f28f5,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,171922,0.0-5.0-0.7,t1mnmvd5,,,,,,777.0,2,671e51c0e8f355dad36f28f5,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,172576,0.0-5.0-0.8,t1mnmvd5,,,,,,653.0,3,671e51c0e8f355dad36f28f5,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,173296,0.0-5.0-0.9,t1mnmvd5,,,,,,719.0,2,671e51c0e8f355dad36f28f5,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,173947,0.0-5.0-0.10,t1mnmvd5,,,,,,650.0,1,671e51c0e8f355dad36f28f5,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,174622,0.0-5.0-0.11,t1mnmvd5,,,,,,675.0,3,671e51c0e8f355dad36f28f5,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,227730,0.0-6.0-0.0,t1mnmvd5,,,,,,53107.0,,671e51c0e8f355dad36f28f5,"[{""page_index"":0,""viewing_time"":1890},{""page_index"":1,""viewing_time"":6183},{""page_index"":2,""viewing_time"":42768},{""page_index"":3,""viewing_time"":2265}]",,,,,,,,,,,,,,,,,
introduction,19,248184,0.0-8.0-0.0,t1mnmvd5,,,,,,,,671e51c0e8f355dad36f28f5,,img/Red_circle.png,2987.0,calibration,,,,,,,,,,,,,,
introduction,20,249882,0.0-8.0-1.0-0.0,t1mnmvd5,,,,,,1691.0,212,671e51c0e8f355dad36f28f5,,212,,calibration,,,,,,,,,,,,,,
introduction,21,249885,0.0-8.0-2.0,t1mnmvd5,,,,,,,,671e51c0e8f355dad36f28f5,,,,,,,,,,,,,,,,,,
