trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,34424,0.0-2.0,hhls6c4y,,,,,,14584.0,673652c092159f4d33692cc6,673652c092159f4d33692cc6,,,,,,,,,,,,,,,,,,
introduction,3,37500,0.0-3.0,hhls6c4y,,,,,,3074.0,673652c092159f4d33692cc6,673652c092159f4d33692cc6,,,,,,,,,,,,,,,,,,
introduction,4,66910,0.0-4.0-0.0,hhls6c4y,,,,,,29409.0,,673652c092159f4d33692cc6,"[{""page_index"":0,""viewing_time"":995},{""page_index"":1,""viewing_time"":27270},{""page_index"":2,""viewing_time"":1144}]",,,,,,,,,,,,,,,,,
introduction,5,68054,0.0-5.0-0.0,hhls6c4y,,,,,,1142.0,1,673652c092159f4d33692cc6,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,68745,0.0-5.0-0.1,hhls6c4y,,,,,,689.0,2,673652c092159f4d33692cc6,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,69587,0.0-5.0-0.2,hhls6c4y,,,,,,842.0,1,673652c092159f4d33692cc6,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,70371,0.0-5.0-0.3,hhls6c4y,,,,,,783.0,3,673652c092159f4d33692cc6,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,71061,0.0-5.0-0.4,hhls6c4y,,,,,,689.0,2,673652c092159f4d33692cc6,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,71644,0.0-5.0-0.5,hhls6c4y,,,,,,582.0,3,673652c092159f4d33692cc6,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,72126,0.0-5.0-0.6,hhls6c4y,,,,,,482.0,1,673652c092159f4d33692cc6,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,72629,0.0-5.0-0.7,hhls6c4y,,,,,,502.0,2,673652c092159f4d33692cc6,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,73071,0.0-5.0-0.8,hhls6c4y,,,,,,441.0,3,673652c092159f4d33692cc6,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,73677,0.0-5.0-0.9,hhls6c4y,,,,,,605.0,2,673652c092159f4d33692cc6,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,74196,0.0-5.0-0.10,hhls6c4y,,,,,,519.0,1,673652c092159f4d33692cc6,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,74705,0.0-5.0-0.11,hhls6c4y,,,,,,509.0,3,673652c092159f4d33692cc6,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,92692,0.0-6.0-0.0,hhls6c4y,,,,,,17986.0,,673652c092159f4d33692cc6,"[{""page_index"":0,""viewing_time"":1103},{""page_index"":1,""viewing_time"":2303},{""page_index"":2,""viewing_time"":13282},{""page_index"":3,""viewing_time"":1298}]",,,,,,,,,,,,,,,,,
introduction,19,106258,0.0-8.0-0.0,hhls6c4y,,,,,,,,673652c092159f4d33692cc6,,img/Red_circle.png,2949.0,calibration,,,,,,,,,,,,,,
introduction,20,108246,0.0-8.0-1.0-0.0,hhls6c4y,,,,,,1983.0,322,673652c092159f4d33692cc6,,322,,calibration,,,,,,,,,,,,,,
introduction,21,108261,0.0-8.0-2.0,hhls6c4y,,,,,,,,673652c092159f4d33692cc6,,,,,,,,,,,,,,,,,,
introduction,22,110272,0.0-8.0-0.1,hhls6c4y,,,,,,,,673652c092159f4d33692cc6,,<p>CAREFUL. That was too slow.</p>,3108.0,calibration,,,,,,,,,,,,,,
introduction,23,111394,0.0-8.0-1.1-0.1,hhls6c4y,,,,,,1121.0,133,673652c092159f4d33692cc6,,133,,calibration,,,,,,,,,,,,,,
introduction,24,111395,0.0-8.0-2.1,hhls6c4y,,,,,,,,673652c092159f4d33692cc6,,,,,,,,,,,,,,,,,,
