trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,40260,0.0-2.0,j4xboaw7,,,,,,23354.0,67803a05b60a2727e9fa85b4,67803a05b60a2727e9fa85b4,,,,,,,,,,,,,,,,,,
introduction,3,46470,0.0-3.0,j4xboaw7,,,,,,6208.0,67803a05b60a2727e9fa85b4,67803a05b60a2727e9fa85b4,,,,,,,,,,,,,,,,,,
introduction,4,134566,0.0-4.0-0.0,j4xboaw7,,,,,,88095.0,,67803a05b60a2727e9fa85b4,"[{""page_index"":0,""viewing_time"":1699},{""page_index"":1,""viewing_time"":85093},{""page_index"":2,""viewing_time"":1302}]",,,,,,,,,,,,,,,,,
introduction,5,135129,0.0-5.0-0.0,j4xboaw7,,,,,,563.0,1,67803a05b60a2727e9fa85b4,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,135899,0.0-5.0-0.1,j4xboaw7,,,,,,769.0,2,67803a05b60a2727e9fa85b4,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,136753,0.0-5.0-0.2,j4xboaw7,,,,,,854.0,1,67803a05b60a2727e9fa85b4,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,137579,0.0-5.0-0.3,j4xboaw7,,,,,,825.0,3,67803a05b60a2727e9fa85b4,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,138313,0.0-5.0-0.4,j4xboaw7,,,,,,733.0,2,67803a05b60a2727e9fa85b4,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,139106,0.0-5.0-0.5,j4xboaw7,,,,,,793.0,3,67803a05b60a2727e9fa85b4,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,139777,0.0-5.0-0.6,j4xboaw7,,,,,,671.0,1,67803a05b60a2727e9fa85b4,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,140547,0.0-5.0-0.7,j4xboaw7,,,,,,769.0,2,67803a05b60a2727e9fa85b4,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,141154,0.0-5.0-0.8,j4xboaw7,,,,,,607.0,3,67803a05b60a2727e9fa85b4,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,141923,0.0-5.0-0.9,j4xboaw7,,,,,,768.0,2,67803a05b60a2727e9fa85b4,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,142651,0.0-5.0-0.10,j4xboaw7,,,,,,727.0,1,67803a05b60a2727e9fa85b4,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,143458,0.0-5.0-0.11,j4xboaw7,,,,,,807.0,3,67803a05b60a2727e9fa85b4,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,266050,0.0-6.0-0.0,j4xboaw7,,,,,,122593.0,,67803a05b60a2727e9fa85b4,"[{""page_index"":0,""viewing_time"":4767},{""page_index"":1,""viewing_time"":5278},{""page_index"":2,""viewing_time"":110534},{""page_index"":3,""viewing_time"":2014}]",,,,,,,,,,,,,,,,,
introduction,19,291232,0.0-8.0-0.0,j4xboaw7,,,,,,,,67803a05b60a2727e9fa85b4,,img/Red_circle.png,3095.0,calibration,,,,,,,,,,,,,,
introduction,20,293337,0.0-8.0-1.0-0.0,j4xboaw7,,,,,,2098.0,13,67803a05b60a2727e9fa85b4,,13,,calibration,,,,,,,,,,,,,,
introduction,21,293338,0.0-8.0-2.0,j4xboaw7,,,,,,,,67803a05b60a2727e9fa85b4,,,,,,,,,,,,,,,,,,
introduction,22,295339,0.0-8.0-0.1,j4xboaw7,,,,,,,,67803a05b60a2727e9fa85b4,,<p>CAREFUL. That was too slow.</p>,3144.0,calibration,,,,,,,,,,,,,,
introduction,23,298129,0.0-8.0-1.1-0.1,j4xboaw7,,,,,,2786.0,32,67803a05b60a2727e9fa85b4,,32,,calibration,,,,,,,,,,,,,,
introduction,24,298129,0.0-8.0-2.1,j4xboaw7,,,,,,,,67803a05b60a2727e9fa85b4,,,,,,,,,,,,,,,,,,
introduction,25,300130,0.0-8.0-0.2,j4xboaw7,,,,,,,,67803a05b60a2727e9fa85b4,,<p>CAREFUL. That was too slow.</p>,2863.0,calibration,,,,,,,,,,,,,,
introduction,26,301697,0.0-8.0-1.2-0.2,j4xboaw7,,,,,,1563.0,111,67803a05b60a2727e9fa85b4,,111,,calibration,,,,,,,,,,,,,,
introduction,27,301697,0.0-8.0-2.2,j4xboaw7,,,,,,,,67803a05b60a2727e9fa85b4,,,,,,,,,,,,,,,,,,
