trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,20618,0.0-2.0,118fh6hf,,,,,,16028.0,6779ab59311fd2904146f0d7,6779ab59311fd2904146f0d7,,,,,,,,,,,,,,,,,,
introduction,3,25362,0.0-3.0,118fh6hf,,,,,,4741.0,6779ab59311fd2904146f0d7,6779ab59311fd2904146f0d7,,,,,,,,,,,,,,,,,,
introduction,4,28930,0.0-4.0-0.0,118fh6hf,,,,,,3567.0,,6779ab59311fd2904146f0d7,"[{""page_index"":0,""viewing_time"":1246},{""page_index"":1,""viewing_time"":771},{""page_index"":2,""viewing_time"":1549}]",,,,,,,,,,,,,,,,,
introduction,5,30272,0.0-5.0-0.0,118fh6hf,,,,,,1341.0,1,6779ab59311fd2904146f0d7,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,31096,0.0-5.0-0.1,118fh6hf,,,,,,823.0,2,6779ab59311fd2904146f0d7,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,31796,0.0-5.0-0.2,118fh6hf,,,,,,700.0,1,6779ab59311fd2904146f0d7,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,32630,0.0-5.0-0.3,118fh6hf,,,,,,833.0,3,6779ab59311fd2904146f0d7,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,33854,0.0-5.0-0.4,118fh6hf,,,,,,1223.0,2,6779ab59311fd2904146f0d7,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,34715,0.0-5.0-0.5,118fh6hf,,,,,,860.0,3,6779ab59311fd2904146f0d7,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,35538,0.0-5.0-0.6,118fh6hf,,,,,,822.0,1,6779ab59311fd2904146f0d7,,Press: 1,,,,,,,,,,,,,,,,
