trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,24303,0.0-2.0,trtcxxk1,,,,,,14349.0,68209a3ae170ac2bc90a8276,68209a3ae170ac2bc90a8276,,,,,,,,,,,,,,,,,,
introduction,3,29481,0.0-3.0,trtcxxk1,,,,,,5176.0,68209a3ae170ac2bc90a8276,68209a3ae170ac2bc90a8276,,,,,,,,,,,,,,,,,,
introduction,4,65689,0.0-4.0-0.0,trtcxxk1,,,,,,36208.0,,68209a3ae170ac2bc90a8276,"[{""page_index"":0,""viewing_time"":1274},{""page_index"":1,""viewing_time"":32945},{""page_index"":2,""viewing_time"":1988}]",,,,,,,,,,,,,,,,,
introduction,5,67326,0.0-5.0-0.0,trtcxxk1,,,,,,1635.0,1,68209a3ae170ac2bc90a8276,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,68140,0.0-5.0-0.1,trtcxxk1,,,,,,814.0,2,68209a3ae170ac2bc90a8276,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,69209,0.0-5.0-0.2,trtcxxk1,,,,,,1068.0,1,68209a3ae170ac2bc90a8276,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,70040,0.0-5.0-0.3,trtcxxk1,,,,,,830.0,3,68209a3ae170ac2bc90a8276,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,70727,0.0-5.0-0.4,trtcxxk1,,,,,,687.0,2,68209a3ae170ac2bc90a8276,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,71877,0.0-5.0-0.5,trtcxxk1,,,,,,1150.0,3,68209a3ae170ac2bc90a8276,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,72776,0.0-5.0-0.6,trtcxxk1,,,,,,898.0,1,68209a3ae170ac2bc90a8276,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,73549,0.0-5.0-0.7,trtcxxk1,,,,,,773.0,2,68209a3ae170ac2bc90a8276,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,74111,0.0-5.0-0.8,trtcxxk1,,,,,,561.0,3,68209a3ae170ac2bc90a8276,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,74693,0.0-5.0-0.9,trtcxxk1,,,,,,582.0,2,68209a3ae170ac2bc90a8276,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,75208,0.0-5.0-0.10,trtcxxk1,,,,,,515.0,1,68209a3ae170ac2bc90a8276,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,75753,0.0-5.0-0.11,trtcxxk1,,,,,,544.0,3,68209a3ae170ac2bc90a8276,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,108466,0.0-6.0-0.0,trtcxxk1,,,,,,32713.0,,68209a3ae170ac2bc90a8276,"[{""page_index"":0,""viewing_time"":1119},{""page_index"":1,""viewing_time"":3601},{""page_index"":2,""viewing_time"":26098},{""page_index"":3,""viewing_time"":1894}]",,,,,,,,,,,,,,,,,
introduction,19,119536,0.0-8.0-0.0,trtcxxk1,,,,,,,,68209a3ae170ac2bc90a8276,,img/Red_circle.png,3390.0,calibration,,,,,,,,,,,,,,
introduction,20,123073,0.0-8.0-1.0-0.0,trtcxxk1,,,,,,3533.0,2111,68209a3ae170ac2bc90a8276,,2111,,calibration,,,,,,,,,,,,,,
introduction,21,125076,0.0-8.0-2.0,trtcxxk1,,,,,,,,68209a3ae170ac2bc90a8276,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,128471,0.0-8.0-0.1,trtcxxk1,,,,,,,,68209a3ae170ac2bc90a8276,,img/Red_circle.png,2131.0,calibration,,,,,,,,,,,,,,
introduction,23,130711,0.0-8.0-1.1-0.1,trtcxxk1,,,,,,2237.0,1313,68209a3ae170ac2bc90a8276,,1313,,calibration,,,,,,,,,,,,,,
