trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,13508,0.0-2.0,xohmwwqd,,,,,,7959.0,5ecbe5e254cc883c02f52be8,5ecbe5e254cc883c02f52be8,,,,,,,,,,,,,,,,,,
introduction,3,17131,0.0-3.0,xohmwwqd,,,,,,3621.0,5ecbe5e254cc883c02f52be8,5ecbe5e254cc883c02f52be8,,,,,,,,,,,,,,,,,,
introduction,4,24293,0.0-4.0-0.0,xohmwwqd,,,,,,7161.0,,5ecbe5e254cc883c02f52be8,"[{""page_index"":0,""viewing_time"":1526},{""page_index"":1,""viewing_time"":4198},{""page_index"":2,""viewing_time"":1436}]",,,,,,,,,,,,,,,,,
introduction,5,26581,0.0-5.0-0.0,xohmwwqd,,,,,,2286.0,1,5ecbe5e254cc883c02f52be8,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,27644,0.0-5.0-0.1,xohmwwqd,,,,,,1061.0,2,5ecbe5e254cc883c02f52be8,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,28411,0.0-5.0-0.2,xohmwwqd,,,,,,767.0,1,5ecbe5e254cc883c02f52be8,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,29058,0.0-5.0-0.3,xohmwwqd,,,,,,646.0,3,5ecbe5e254cc883c02f52be8,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,29690,0.0-5.0-0.4,xohmwwqd,,,,,,631.0,2,5ecbe5e254cc883c02f52be8,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,30293,0.0-5.0-0.5,xohmwwqd,,,,,,601.0,3,5ecbe5e254cc883c02f52be8,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,30844,0.0-5.0-0.6,xohmwwqd,,,,,,550.0,1,5ecbe5e254cc883c02f52be8,,Press: 1,,,,,,,,,,,,,,,,
