trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,8164,0.0-2.0,pn9mplgo,,,,,,4104.0,5a8b1ee2000dab00018cc7cd,5a8b1ee2000dab00018cc7cd,,,,,,,,,,,,,,,,,,
introduction,3,10851,0.0-3.0,pn9mplgo,,,,,,2686.0,5a8b1ee2000dab00018cc7cd,5a8b1ee2000dab00018cc7cd,,,,,,,,,,,,,,,,,,
introduction,4,19479,0.0-4.0-0.0,pn9mplgo,,,,,,8628.0,,5a8b1ee2000dab00018cc7cd,"[{""page_index"":0,""viewing_time"":1415},{""page_index"":1,""viewing_time"":5534},{""page_index"":2,""viewing_time"":1678}]",,,,,,,,,,,,,,,,,
introduction,5,20835,0.0-5.0-0.0,pn9mplgo,,,,,,1354.0,1,5a8b1ee2000dab00018cc7cd,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,21638,0.0-5.0-0.1,pn9mplgo,,,,,,803.0,2,5a8b1ee2000dab00018cc7cd,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,22834,0.0-5.0-0.2,pn9mplgo,,,,,,1196.0,1,5a8b1ee2000dab00018cc7cd,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,24177,0.0-5.0-0.3,pn9mplgo,,,,,,1342.0,3,5a8b1ee2000dab00018cc7cd,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,25463,0.0-5.0-0.4,pn9mplgo,,,,,,1285.0,2,5a8b1ee2000dab00018cc7cd,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,26032,0.0-5.0-0.5,pn9mplgo,,,,,,569.0,3,5a8b1ee2000dab00018cc7cd,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,26602,0.0-5.0-0.6,pn9mplgo,,,,,,570.0,1,5a8b1ee2000dab00018cc7cd,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,27190,0.0-5.0-0.7,pn9mplgo,,,,,,587.0,2,5a8b1ee2000dab00018cc7cd,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,27629,0.0-5.0-0.8,pn9mplgo,,,,,,439.0,3,5a8b1ee2000dab00018cc7cd,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,28249,0.0-5.0-0.9,pn9mplgo,,,,,,620.0,2,5a8b1ee2000dab00018cc7cd,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,28948,0.0-5.0-0.10,pn9mplgo,,,,,,699.0,1,5a8b1ee2000dab00018cc7cd,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,29498,0.0-5.0-0.11,pn9mplgo,,,,,,549.0,3,5a8b1ee2000dab00018cc7cd,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,67379,0.0-6.0-0.0,pn9mplgo,,,,,,37881.0,,5a8b1ee2000dab00018cc7cd,"[{""page_index"":0,""viewing_time"":10243},{""page_index"":1,""viewing_time"":1645},{""page_index"":2,""viewing_time"":24565},{""page_index"":3,""viewing_time"":1427}]",,,,,,,,,,,,,,,,,
introduction,19,184254,0.0-8.0-0.0,pn9mplgo,,,,,,,,5a8b1ee2000dab00018cc7cd,,img/Red_circle.png,2372.0,calibration,,,,,,,,,,,,,,
introduction,20,187780,0.0-8.0-1.0-0.0,pn9mplgo,,,,,,3524.0,2312,5a8b1ee2000dab00018cc7cd,,2312,,calibration,,,,,,,,,,,,,,
introduction,21,189784,0.0-8.0-2.0,pn9mplgo,,,,,,,,5a8b1ee2000dab00018cc7cd,,<p>CAREFUL. That was too slow.</p>,,,slow,,,,,,,,,,,,,
introduction,22,192159,0.0-8.0-0.1,pn9mplgo,,,,,,,,5a8b1ee2000dab00018cc7cd,,img/Red_circle.png,1693.0,calibration,,,,,,,,,,,,,,
introduction,23,194343,0.0-8.0-1.1-0.1,pn9mplgo,,,,,,2184.0,3232,5a8b1ee2000dab00018cc7cd,,3232,,calibration,,,,,,,,,,,,,,
introduction,24,194344,0.0-8.0-2.1,pn9mplgo,,,,,,,,5a8b1ee2000dab00018cc7cd,,,,,,,,,,,,,,,,,,
introduction,25,196039,0.0-8.0-0.2,pn9mplgo,,,,,,,,5a8b1ee2000dab00018cc7cd,,img/Red_circle.png,1943.0,calibration,,,,,,,,,,,,,,
introduction,26,197845,0.0-8.0-1.2-0.2,pn9mplgo,,,,,,1803.0,2211,5a8b1ee2000dab00018cc7cd,,2211,,calibration,,,,,,,,,,,,,,
introduction,27,197846,0.0-8.0-2.2,pn9mplgo,,,,,,,,5a8b1ee2000dab00018cc7cd,,,,,,,,,,,,,,,,,,
introduction,28,199791,0.0-8.0-0.3,pn9mplgo,,,,,,,,5a8b1ee2000dab00018cc7cd,,img/Red_circle.png,1848.0,calibration,,,,,,,,,,,,,,
introduction,29,201661,0.0-8.0-1.3-0.3,pn9mplgo,,,,,,1867.0,3223,5a8b1ee2000dab00018cc7cd,,3223,,calibration,,,,,,,,,,,,,,
