trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,8009,0.0-2.0,7lggefmp,,,,,,5426.0,5f2fc0f05b67073c177aaece,5f2fc0f05b67073c177aaece,,,,,,,,,,,,,,,,,,
introduction,3,10796,0.0-3.0,7lggefmp,,,,,,2786.0,5f2fc0f05b67073c177aaece,5f2fc0f05b67073c177aaece,,,,,,,,,,,,,,,,,,
introduction,4,14636,0.0-4.0-0.0,7lggefmp,,,,,,3839.0,,5f2fc0f05b67073c177aaece,"[{""page_index"":0,""viewing_time"":853},{""page_index"":1,""viewing_time"":2213},{""page_index"":2,""viewing_time"":772}]",,,,,,,,,,,,,,,,,
introduction,5,16008,0.0-5.0-0.0,7lggefmp,,,,,,1371.0,1,5f2fc0f05b67073c177aaece,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,16338,0.0-5.0-0.1,7lggefmp,,,,,,328.0,2,5f2fc0f05b67073c177aaece,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,17076,0.0-5.0-0.2,7lggefmp,,,,,,737.0,1,5f2fc0f05b67073c177aaece,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,17679,0.0-5.0-0.3,7lggefmp,,,,,,603.0,3,5f2fc0f05b67073c177aaece,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,18156,0.0-5.0-0.4,7lggefmp,,,,,,476.0,2,5f2fc0f05b67073c177aaece,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,18725,0.0-5.0-0.5,7lggefmp,,,,,,567.0,3,5f2fc0f05b67073c177aaece,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,19202,0.0-5.0-0.6,7lggefmp,,,,,,476.0,1,5f2fc0f05b67073c177aaece,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,19684,0.0-5.0-0.7,7lggefmp,,,,,,482.0,2,5f2fc0f05b67073c177aaece,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,20237,0.0-5.0-0.8,7lggefmp,,,,,,553.0,3,5f2fc0f05b67073c177aaece,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,20731,0.0-5.0-0.9,7lggefmp,,,,,,492.0,2,5f2fc0f05b67073c177aaece,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,21164,0.0-5.0-0.10,7lggefmp,,,,,,433.0,1,5f2fc0f05b67073c177aaece,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,21668,0.0-5.0-0.11,7lggefmp,,,,,,504.0,3,5f2fc0f05b67073c177aaece,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,33888,0.0-6.0-0.0,7lggefmp,,,,,,12220.0,,5f2fc0f05b67073c177aaece,"[{""page_index"":0,""viewing_time"":684},{""page_index"":1,""viewing_time"":1282},{""page_index"":2,""viewing_time"":9255},{""page_index"":3,""viewing_time"":999}]",,,,,,,,,,,,,,,,,
introduction,19,46158,0.0-8.0-0.0,7lggefmp,,,,,,,,5f2fc0f05b67073c177aaece,,img/Red_circle.png,3267.0,calibration,,,,,,,,,,,,,,
introduction,20,48109,0.0-8.0-1.0-0.0,7lggefmp,,,,,,1946.0,133,5f2fc0f05b67073c177aaece,,133,,calibration,,,,,,,,,,,,,,
introduction,21,48111,0.0-8.0-2.0,7lggefmp,,,,,,,,5f2fc0f05b67073c177aaece,,,,,,,,,,,,,,,,,,
introduction,22,50111,0.0-8.0-0.1,7lggefmp,,,,,,,,5f2fc0f05b67073c177aaece,,<p>CAREFUL. That was too slow.</p>,3331.0,calibration,,,,,,,,,,,,,,
introduction,23,52006,0.0-8.0-1.1-0.1,7lggefmp,,,,,,1892.0,2112,5f2fc0f05b67073c177aaece,,2112,,calibration,,,,,,,,,,,,,,
introduction,24,52007,0.0-8.0-2.1,7lggefmp,,,,,,,,5f2fc0f05b67073c177aaece,,,,,,,,,,,,,,,,,,
introduction,25,54009,0.0-8.0-0.2,7lggefmp,,,,,,,,5f2fc0f05b67073c177aaece,,<p>CAREFUL. That was too slow.</p>,2560.0,calibration,,,,,,,,,,,,,,
introduction,26,55328,0.0-8.0-1.2-0.2,7lggefmp,,,,,,1315.0,132,5f2fc0f05b67073c177aaece,,132,,calibration,,,,,,,,,,,,,,
introduction,27,55328,0.0-8.0-2.2,7lggefmp,,,,,,,,5f2fc0f05b67073c177aaece,,,,,,,,,,,,,,,,,,
introduction,28,57330,0.0-8.0-0.3,7lggefmp,,,,,,,,5f2fc0f05b67073c177aaece,,<p>CAREFUL. That was too slow.</p>,2287.0,calibration,,,,,,,,,,,,,,
introduction,29,58560,0.0-8.0-1.3-0.3,7lggefmp,,,,,,1226.0,121,5f2fc0f05b67073c177aaece,,121,,calibration,,,,,,,,,,,,,,
introduction,30,58561,0.0-8.0-2.3,7lggefmp,,,,,,,,5f2fc0f05b67073c177aaece,,,,,,,,,,,,,,,,,,
introduction,31,60563,0.0-8.0-0.4,7lggefmp,,,,,,,,5f2fc0f05b67073c177aaece,,<p>CAREFUL. That was too slow.</p>,2059.0,calibration,,,,,,,,,,,,,,
