trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,41568,0.0-2.0,o6a48jxu,,,,,,26749.0,678c12216e32ea110dfe09fc,678c12216e32ea110dfe09fc,,,,,,,,,,,,,,,,,,
introduction,3,46948,0.0-3.0,o6a48jxu,,,,,,5359.0,678c12216e32ea110dfe09fc,678c12216e32ea110dfe09fc,,,,,,,,,,,,,,,,,,
introduction,4,67088,0.0-4.0-0.0,o6a48jxu,,,,,,20138.0,,678c12216e32ea110dfe09fc,"[{""page_index"":0,""viewing_time"":2891},{""page_index"":1,""viewing_time"":15860},{""page_index"":2,""viewing_time"":1386}]",,,,,,,,,,,,,,,,,
introduction,5,68333,0.0-5.0-0.0,o6a48jxu,,,,,,1242.0,1,678c12216e32ea110dfe09fc,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,69189,0.0-5.0-0.1,o6a48jxu,,,,,,853.0,2,678c12216e32ea110dfe09fc,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,70190,0.0-5.0-0.2,o6a48jxu,,,,,,1000.0,1,678c12216e32ea110dfe09fc,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,71494,0.0-5.0-0.3,o6a48jxu,,,,,,1303.0,3,678c12216e32ea110dfe09fc,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,72318,0.0-5.0-0.4,o6a48jxu,,,,,,823.0,2,678c12216e32ea110dfe09fc,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,73302,0.0-5.0-0.5,o6a48jxu,,,,,,982.0,3,678c12216e32ea110dfe09fc,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,74164,0.0-5.0-0.6,o6a48jxu,,,,,,860.0,1,678c12216e32ea110dfe09fc,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,75803,0.0-5.0-0.7,o6a48jxu,,,,,,1638.0,2,678c12216e32ea110dfe09fc,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,76722,0.0-5.0-0.8,o6a48jxu,,,,,,918.0,3,678c12216e32ea110dfe09fc,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,77723,0.0-5.0-0.9,o6a48jxu,,,,,,999.0,2,678c12216e32ea110dfe09fc,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,78430,0.0-5.0-0.10,o6a48jxu,,,,,,706.0,1,678c12216e32ea110dfe09fc,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,80280,0.0-5.0-0.11,o6a48jxu,,,,,,1849.0,3,678c12216e32ea110dfe09fc,,Press: 3,,,,,,,,,,,,,,,,
introduction,17,129589,0.0-6.0-0.0,o6a48jxu,,,,,,49308.0,,678c12216e32ea110dfe09fc,"[{""page_index"":0,""viewing_time"":1760},{""page_index"":1,""viewing_time"":6131},{""page_index"":2,""viewing_time"":40001},{""page_index"":3,""viewing_time"":1416}]",,,,,,,,,,,,,,,,,
introduction,19,152349,0.0-8.0-0.0,o6a48jxu,,,,,,,,678c12216e32ea110dfe09fc,,img/Red_circle.png,2911.0,calibration,,,,,,,,,,,,,,
introduction,20,155459,0.0-8.0-1.0-0.0,o6a48jxu,,,,,,3101.0,311,678c12216e32ea110dfe09fc,,311,,calibration,,,,,,,,,,,,,,
introduction,21,155461,0.0-8.0-2.0,o6a48jxu,,,,,,,,678c12216e32ea110dfe09fc,,,,,,,,,,,,,,,,,,
introduction,22,157471,0.0-8.0-0.1,o6a48jxu,,,,,,,,678c12216e32ea110dfe09fc,,<p>CAREFUL. That was too slow.</p>,1035.0,calibration,,,,,,,,,,,,,,
introduction,23,160881,0.0-8.0-1.1-0.1,o6a48jxu,,,,,,3405.0,3312,678c12216e32ea110dfe09fc,,3312,,calibration,,,,,,,,,,,,,,
introduction,24,160882,0.0-8.0-2.1,o6a48jxu,,,,,,,,678c12216e32ea110dfe09fc,,,,,,,,,,,,,,,,,,
introduction,25,161927,0.0-8.0-0.2,o6a48jxu,,,,,,,,678c12216e32ea110dfe09fc,,img/Red_circle.png,3055.0,calibration,,,,,,,,,,,,,,
