trial_type,trial_index,time_elapsed,internal_node_id,subject_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,ID,view_history,stimulus,stim_dur,Block,trial_type_feed,Point_amount,slider_start,Estimated_points,Speed,Speed_min,Speed_sd,question_order,Correct,True_Perc,FinalQ_1,FinalQ_2,FinalQ_3,FinalQ_4
introduction,2,14550,0.0-2.0,shzx8e3r,,,,,,10714.0,6630e55b3b999569b5a36635,6630e55b3b999569b5a36635,,,,,,,,,,,,,,,,,,
introduction,3,20399,0.0-3.0,shzx8e3r,,,,,,5848.0,6630e55b3b999569b5a36635,6630e55b3b999569b5a36635,,,,,,,,,,,,,,,,,,
introduction,4,32483,0.0-4.0-0.0,shzx8e3r,,,,,,12083.0,,6630e55b3b999569b5a36635,"[{""page_index"":0,""viewing_time"":1299},{""page_index"":1,""viewing_time"":9583},{""page_index"":2,""viewing_time"":1201}]",,,,,,,,,,,,,,,,,
introduction,5,33437,0.0-5.0-0.0,shzx8e3r,,,,,,952.0,1,6630e55b3b999569b5a36635,,Press: 1,,,,,,,,,,,,,,,,
introduction,6,34131,0.0-5.0-0.1,shzx8e3r,,,,,,693.0,2,6630e55b3b999569b5a36635,,Press: 2,,,,,,,,,,,,,,,,
introduction,7,35057,0.0-5.0-0.2,shzx8e3r,,,,,,925.0,1,6630e55b3b999569b5a36635,,Press: 1,,,,,,,,,,,,,,,,
introduction,8,36023,0.0-5.0-0.3,shzx8e3r,,,,,,966.0,3,6630e55b3b999569b5a36635,,Press: 3,,,,,,,,,,,,,,,,
introduction,9,36843,0.0-5.0-0.4,shzx8e3r,,,,,,819.0,2,6630e55b3b999569b5a36635,,Press: 2,,,,,,,,,,,,,,,,
introduction,10,37788,0.0-5.0-0.5,shzx8e3r,,,,,,944.0,3,6630e55b3b999569b5a36635,,Press: 3,,,,,,,,,,,,,,,,
introduction,11,38475,0.0-5.0-0.6,shzx8e3r,,,,,,686.0,1,6630e55b3b999569b5a36635,,Press: 1,,,,,,,,,,,,,,,,
introduction,12,39104,0.0-5.0-0.7,shzx8e3r,,,,,,629.0,2,6630e55b3b999569b5a36635,,Press: 2,,,,,,,,,,,,,,,,
introduction,13,39753,0.0-5.0-0.8,shzx8e3r,,,,,,647.0,3,6630e55b3b999569b5a36635,,Press: 3,,,,,,,,,,,,,,,,
introduction,14,40496,0.0-5.0-0.9,shzx8e3r,,,,,,743.0,2,6630e55b3b999569b5a36635,,Press: 2,,,,,,,,,,,,,,,,
introduction,15,41080,0.0-5.0-0.10,shzx8e3r,,,,,,583.0,1,6630e55b3b999569b5a36635,,Press: 1,,,,,,,,,,,,,,,,
introduction,16,41754,0.0-5.0-0.11,shzx8e3r,,,,,,673.0,3,6630e55b3b999569b5a36635,,Press: 3,,,,,,,,,,,,,,,,
